Hourly Obs
Year: 2013
Station Location: HARTSFIELD-JACKSON ATLANTA INTL AP (13874)
Lat: 33.630
Lon: -84.441
Elev: 1010 ft. above sea level
WBAN,Date,Time,StationType,SkyCondition,SkyConditionFlag,Visibility,VisibilityFlag,WeatherType,WeatherTypeFlag,DryBulbFarenheit,DryBulbFarenheitFlag,DryBulbCelsius,DryBulbCelsiusFlag,WetBulbFarenheit,WetBulbFarenheitFlag,WetBulbCelsius,WetBulbCelsiusFlag,DewPointFarenheit,DewPointFarenheitFlag,DewPointCelsius,DewPointCelsiusFlag,RelativeHumidity,RelativeHumidityFlag,WindSpeed,WindSpeedFlag,WindDirection,WindDirectionFlag,ValueForWindCharacter,ValueForWindCharacterFlag,StationPressure,StationPressureFlag,PressureTendency,PressureTendencyFlag,PressureChange,PressureChangeFlag,SeaLevelPressure,SeaLevelPressureFlag,RecordType,RecordTypeFlag,HourlyPrecip,HourlyPrecipFlag,Altimeter,AltimeterFlag
13874,20130101,0052,11,FEW070 BKN200 OVC250, ,10.00, , , ,48, ,8.9, ,43, ,5.8, ,36, ,2.2, , 63, , 3, ,180, , , ,29.02, , , , , ,30.12, ,AA, , , ,30.12, 
13874,20130101,0152,11,FEW090 SCT200 BKN250, ,10.00, , , ,48, ,8.9, ,43, ,6.3, ,38, ,3.3, , 68, , 8, ,200, , , ,29.00, , , , , ,30.10, ,AA, , , ,30.10, 
13874,20130101,0252,11,FEW016 BKN120 OVC220, ,10.00, , , ,49, ,9.4, ,45, ,7.3, ,41, ,5.0, , 74, , 7, ,200, , , ,28.99, , , , , ,30.09, ,AA, , , ,30.09, 
13874,20130101,0307,11,BKN016 OVC120, ,10.00, , , ,50, ,10.0, ,47, ,8.0, ,43, ,6.0, , 77, , 7, ,200, , , ,28.99, , , , , ,M, ,SP, , , ,30.09, 
13874,20130101,0352,11,OVC019, ,10.00, , , ,50, ,10.0, ,47, ,8.0, ,43, ,6.1, , 77, , 5, ,210, , , ,28.99, , , , , ,30.09, ,AA, , , ,30.09, 
13874,20130101,0452,11,BKN017 OVC028, ,10.00, , , ,51, ,10.6, ,48, ,8.8, ,45, ,7.2, , 80, , 8, ,200, , , ,28.97, , , , , ,30.07, ,AA, , , ,30.07, 
13874,20130101,0552,11,BKN021 OVC027, ,10.00, , , ,51, ,10.6, ,48, ,8.8, ,45, ,7.2, , 80, , 0, ,000, , , ,28.96, , , , , ,30.06, ,AA, , , ,30.06, 
13874,20130101,0652,11,OVC015, ,10.00, , , ,51, ,10.6, ,48, ,8.8, ,45, ,7.2, , 80, , 0, ,000, , , ,28.97, , , , , ,30.07, ,AA, , , ,30.07, 
13874,20130101,0752,11,BKN018 OVC028, , 9.00, , , ,51, ,10.6, ,48, ,9.1, ,46, ,7.8, , 83, , 0, ,000, , , ,28.97, , , , , ,30.07, ,AA, , , ,30.07, 
13874,20130101,0834,11,FEW022 OVC031, , 7.00, , , ,52, ,11.0, ,49, ,9.4, ,46, ,8.0, , 80, , 0, ,000, , , ,28.96, , , , , ,M, ,SP, , , ,30.06, 
13874,20130101,0850,11,SCT022 OVC029, , 6.00, ,-DZ, ,52, ,11.0, ,49, ,9.4, ,46, ,8.0, , 80, , 0, ,000, , , ,28.97, , , , , ,M, ,SP, , , ,30.07, 
13874,20130101,0852,11,SCT022 OVC029, , 6.00, ,-DZ, ,51, ,10.6, ,48, ,9.1, ,46, ,7.8, , 83, , 0, ,000, , , ,28.97, , , , , ,30.07, ,AA, ,  T, ,30.07, 
13874,20130101,0901,11,BKN022 OVC031, , 2.00, ,-RA BR, ,52, ,11.0, ,49, ,9.4, ,46, ,8.0, , 80, , 0, ,000, , , ,28.97, , , , , ,M, ,SP, , , ,30.07, 
13874,20130101,0931,11,SCT008 BKN015 OVC029, , 1.00, ,RA BR, ,52, ,11.0, ,50, ,9.9, ,48, ,9.0, , 86, , 5, ,360, , , ,28.99, , , , , ,M, ,SP, , , ,30.09, 
