Hourly Obs
Year: 2013
Station Location: BISMARCK MUNICIPAL AIRPORT (24011)
Lat: 46.782
Lon: -100.757
Elev: 1651 ft. above sea level
WBAN,Date,Time,StationType,SkyCondition,SkyConditionFlag,Visibility,VisibilityFlag,WeatherType,WeatherTypeFlag,DryBulbFarenheit,DryBulbFarenheitFlag,DryBulbCelsius,DryBulbCelsiusFlag,WetBulbFarenheit,WetBulbFarenheitFlag,WetBulbCelsius,WetBulbCelsiusFlag,DewPointFarenheit,DewPointFarenheitFlag,DewPointCelsius,DewPointCelsiusFlag,RelativeHumidity,RelativeHumidityFlag,WindSpeed,WindSpeedFlag,WindDirection,WindDirectionFlag,ValueForWindCharacter,ValueForWindCharacterFlag,StationPressure,StationPressureFlag,PressureTendency,PressureTendencyFlag,PressureChange,PressureChangeFlag,SeaLevelPressure,SeaLevelPressureFlag,RecordType,RecordTypeFlag,HourlyPrecip,HourlyPrecipFlag,Altimeter,AltimeterFlag
24011,20130101,0052,11,OVC026, ,10.00, , , ,2, ,-16.7, ,1, ,-17.0, ,-2, ,-18.9, , 83, , 3, ,120, , , ,28.37, , , , , ,30.26, ,AA, , , ,30.13, 
24011,20130101,0152,11,OVC026, ,10.00, , , ,2, ,-16.7, ,1, ,-17.0, ,-2, ,-18.9, , 83, , 0, ,000, , , ,28.35, , , , , ,30.24, ,AA, , , ,30.11, 
24011,20130101,0252,11,BKN018 OVC025, ,10.00, , , ,3, ,-16.1, ,2, ,-16.4, ,-0, ,-17.8, , 87, , 3, ,080, , , ,28.36, , , , , ,30.25, ,AA, , , ,30.12, 
24011,20130101,0352,11,OVC021, ,10.00, , , ,4, ,-15.6, ,3, ,-15.8, ,1, ,-17.2, , 87, , 0, ,000, , , ,28.36, , , , , ,30.24, ,AA, , , ,30.12, 
24011,20130101,0452,11,OVC016, ,10.00, , , ,5, ,-15.0, ,4, ,-15.4, ,1, ,-17.2, , 83, , 0, ,000, , , ,28.35, , , , , ,30.24, ,AA, , , ,30.11, 
24011,20130101,0517,11,FEW009 OVC014, ,10.00, , , ,5, ,-15.0, ,4, ,-15.4, ,1, ,-17.2, , 83, , 0, ,000, , , ,28.35, , , , , ,M, ,SP, , , ,30.11, 
24011,20130101,0531,11,BKN007 OVC014, ,10.00, , , ,5, ,-15.0, ,4, ,-15.4, ,1, ,-17.2, , 83, , 3, ,080, , , ,28.34, , , , , ,M, ,SP, , , ,30.10, 
24011,20130101,0552,11,OVC005, ,10.00, , , ,4, ,-15.6, ,3, ,-15.8, ,1, ,-17.2, , 87, , 0, ,000, , , ,28.34, , , , , ,30.22, ,AA, , , ,30.10, 
24011,20130101,0600,11,OVC004, ,10.00, , , ,4, ,-15.6, ,3, ,-15.8, ,1, ,-17.2, , 87, , 0, ,000, , , ,28.34, ,8, ,007, ,30.22, ,SP, , , ,30.10, 
24011,20130101,0652,11,OVC003, , 6.00, ,BR, ,5, ,-15.0, ,5, ,-15.2, ,3, ,-16.1, , 91, , 0, ,000, , , ,28.33, , , , , ,30.22, ,AA, , , ,30.09, 
24011,20130101,0712,11,OVC003, , 2.00, ,BR, ,6, ,-14.4, ,6, ,-14.6, ,4, ,-15.6, , 91, , 0, ,000, , , ,28.33, , , , , ,M, ,SP, , , ,30.09, 
24011,20130101,0723,11,OVC003, , 1.00, ,BR, ,6, ,-14.4, ,6, ,-14.6, ,4, ,-15.6, , 91, , 0, ,000, , , ,28.33, , , , , ,M, ,SP, , , ,30.09, 
24011,20130101,0730,11,OVC003, , 2.00, ,BR, ,6, ,-14.4, ,6, ,-14.6, ,4, ,-15.6, , 91, , 0, ,000, , , ,28.33, , , , , ,M, ,SP, , , ,30.09, 
24011,20130101,0747,11,VV003, , 0.75, ,BR, ,7, ,-14.0, ,7, ,-14.1, ,5, ,-15.0, , 91, , 0, ,000, , , ,28.32, , , , , ,M, ,SP, , , ,30.08, 
24011,20130101,0752,11,VV003, , 0.75, ,BR, ,6, ,-14.4, ,6, ,-14.5, ,5, ,-15.0, , 96, , 0, ,000, , , ,28.32, , , , , ,30.21, ,AA, , , ,30.08, 
24011,20130101,0802,11,VV003, , 0.25, ,FZFG, ,6, ,-14.4, ,6, ,-14.5, ,5, ,-15.0, , 96, , 0, ,000, , , ,28.31, , , , , ,M, ,SP, , , ,30.07, 
24011,20130101,0827,11,VV002, , 0.25, ,FZFG, ,7, ,-13.9, ,7, ,-14.0, ,6, ,-14.4, , 96, , 0, ,000, , , ,28.31, , , , , ,M, ,SP, , , ,30.07, 
24011,20130101,0852,11,VV002, , 0.25, ,FZFG, ,8, ,-13.3, ,8, ,-13.4, ,7, ,-13.9, , 96, , 0, ,000, , , ,28.31, , , , , ,30.20, ,AA, , , ,30.07, 
24011,20130101,0933,11,VV003, , 0.25, ,FZFG, ,8, ,-13.3, ,8, ,-13.4, ,7, ,-13.9, , 96, , 3, ,170, , , ,28.30, , , , , ,M, ,SP, , , ,30.06, 
24011,20130101,0942,11,OVC002, , 0.50, ,FZFG, ,9, ,-12.8, ,9, ,-13.0, ,7, ,-13.9, , 91, , 0, ,000, , , ,28.30, , , , , ,M, ,SP, , , ,30.06, 
24011,20130101,0950,11,OVC002, , 0.75, ,BR, ,9, ,-13.0, ,9, ,-12.7, ,9, ,-13.0, ,100, , 0, ,000, , , ,28.30, , , , , ,M, ,SP, , , ,30.06, 
24011,20130101,0952,11,OVC002, , 0.75, ,BR, ,10, ,-12.2, ,10, ,-12.4, ,8, ,-13.3, , 92, , 0, ,000, , , ,28.30, , , , , ,30.18, ,AA, , , ,30.06, 
24011,20130101,0958,11,OVC002, , 0.25, ,FZFG, ,10, ,-12.2, ,9, ,-12.6, ,7, ,-13.9, , 88, , 0, ,000, , , ,28.30, , , , , ,M, ,SP, , , ,30.06, 
24011,20130101,1018,11,VV003, , 0.75, ,BR, ,10, ,-12.2, ,10, ,-12.4, ,8, ,-13.3, , 92, , 5, ,270, , , ,28.30, , , , , ,M, ,SP, , , ,30.06, 
24011,20130101,1043,11,OVC002, , 1.50, ,BR, ,11, ,-11.7, ,10, ,-12.0, ,8, ,-13.3, , 88, , 6, ,240, , , ,28.30, , , , , ,M, ,SP, , , ,30.06, 
24011,20130101,1050,11,OVC002, , 2.50, ,BR, ,10, ,-12.0, ,9, ,-12.6, ,7, ,-14.0, , 88, , 6, ,230, , , ,28.30, , , , , ,M, ,SP, , , ,30.06, 
24011,20130101,1052,11,OVC002, , 3.00, ,BR, ,10, ,-12.2, ,9, ,-12.6, ,7, ,-13.9, , 88, , 7, ,240, , , ,28.30, , , , , ,30.19, ,AA, , , ,30.06, 
24011,20130101,1119,11,SCT003, , 9.00, , , ,10, ,-12.2, ,9, ,-12.7, ,6, ,-14.4, , 84, , 7, ,240, , , ,28.29, , , , , ,M, ,SP, , , ,30.05, 
24011,20130101,1152,11,CLR, ,10.00, , , ,11, ,-11.7, ,10, ,-12.3, ,6, ,-14.4, , 80, , 6, ,250, , , ,28.28, , , , , ,30.16, ,AA, , , ,30.04, 
24011,20130101,1252,11,CLR, ,10.00, , , ,13, ,-10.6, ,12, ,-11.3, ,7, ,-13.9, , 77, , 6, ,240, , , ,28.24, , , , , ,30.12, ,AA, , , ,30.00, 
24011,20130101,1352,11,CLR, ,10.00, , , ,15, ,-9.4, ,13, ,-10.5, ,7, ,-13.9, , 70, , 7, ,250, , , ,28.22, , , , , ,30.09, ,AA, , , ,29.98, 
24011,20130101,1452,11,CLR, ,10.00, , , ,16, ,-8.9, ,14, ,-10.1, ,7, ,-13.9, , 67, , 8, ,250, , , ,28.20, , , , , ,30.08, ,AA, , , ,29.96, 
24011,20130101,1552,11,CLR, ,10.00, , , ,15, ,-9.4, ,13, ,-10.4, ,8, ,-13.3, , 74, , 7, ,250, , , ,28.20, , , , , ,30.06, ,AA, , , ,29.95, 
24011,20130101,1652,11,CLR, ,10.00, , , ,15, ,-9.4, ,13, ,-10.4, ,8, ,-13.3, , 74, , 3, ,260, , , ,28.18, , , , , ,30.04, ,AA, , , ,29.93, 
24011,20130101,1752,11,CLR, ,10.00, , , ,15, ,-9.4, ,13, ,-10.3, ,9, ,-12.8, , 77, , 5, ,240, , , ,28.18, , , , , ,30.05, ,AA, , , ,29.93, 
24011,20130101,1852,11,FEW021 BKN031 OVC040, , 2.50, ,-SN, ,17, ,-8.3, ,15, ,-9.2, ,11, ,-11.7, , 77, , 3, ,260, , , ,28.18, , , , , ,30.04, ,AA, ,  T, ,29.93, 
24011,20130101,1934,11,OVC029, , 2.50, ,-SN BR, ,18, ,-7.8, ,17, ,-8.4, ,14, ,-10.0, , 84, , 3, ,240, , , ,28.17, , , , , ,M, ,SP, , , ,29.92, 
24011,20130101,1950,11,OVC031, , 2.50, ,-SN BR, ,18, ,-8.0, ,17, ,-8.1, ,16, ,-9.0, , 92, , 3, ,230, , , ,28.17, , , , , ,M, ,SP, , , ,29.92, 
24011,20130101,1952,11,OVC033, , 2.50, ,-SN BR, ,18, ,-7.8, ,17, ,-8.2, ,15, ,-9.4, , 88, , 3, ,220, , , ,28.17, , , , , ,30.02, ,AA, ,0.01, ,29.92, 
