Hourly Obs
MYear: 2013
Station Location: GEN E L LOGAN INTERNATIONAL AIRPORT (14739)
Lat: 42.360
Lon: -71.010
Elev: 12 ft. above sea level
WBAN,Date,Time,StationType,SkyCondition,SkyConditionFlag,Visibility,VisibilityFlag,WeatherType,WeatherTypeFlag,DryBulbFarenheit,DryBulbFarenheitFlag,DryBulbCelsius,DryBulbCelsiusFlag,WetBulbFarenheit,WetBulbFarenheitFlag,WetBulbCelsius,WetBulbCelsiusFlag,DewPointFarenheit,DewPointFarenheitFlag,DewPointCelsius,DewPointCelsiusFlag,RelativeHumidity,RelativeHumidityFlag,WindSpeed,WindSpeedFlag,WindDirection,WindDirectionFlag,ValueForWindCharacter,ValueForWindCharacterFlag,StationPressure,StationPressureFlag,PressureTendency,PressureTendencyFlag,PressureChange,PressureChangeFlag,SeaLevelPressure,SeaLevelPressureFlag,RecordType,RecordTypeFlag,HourlyPrecip,HourlyPrecipFlag,Altimeter,AltimeterFlag
14739,20130101,0054,11,FEW045 OVC090, ,10.00, , , ,33, ,0.6, ,29, ,-1.4, ,23, ,-5.0, , 67, ,14, ,230, , , ,29.72, , , , , ,29.75, ,AA, , , ,29.75, 
14739,20130101,0154,11,BKN040 OVC080, ,10.00, , , ,34, ,1.1, ,30, ,-1.0, ,23, ,-5.0, , 64, ,13, ,230, , , ,29.73, , , , , ,29.76, ,AA, , , ,29.76, 
14739,20130101,0254,11,BKN047 OVC110, ,10.00, , , ,34, ,1.1, ,30, ,-1.0, ,23, ,-5.0, , 64, ,13, ,230, , , ,29.71, , , , , ,29.74, ,AA, , , ,29.74, 
14739,20130101,0354,11,BKN044 OVC050, ,10.00, , , ,34, ,1.1, ,30, ,-1.0, ,23, ,-5.0, , 64, ,10, ,230, , , ,29.70, , , , , ,29.72, ,AA, , , ,29.73, 
14739,20130101,0454,11,SCT055 OVC070, ,10.00, , , ,34, ,1.1, ,30, ,-1.0, ,23, ,-5.0, , 64, ,14, ,230, , , ,29.70, , , , , ,29.73, ,AA, , , ,29.73, 
14739,20130101,0554,11,OVC065, ,10.00, , , ,35, ,1.7, ,31, ,-0.5, ,24, ,-4.4, , 64, ,11, ,240, ,20, ,29.71, , , , , ,29.73, ,AA, , , ,29.74, 
14739,20130101,0654,11,BKN060, ,10.00, , , ,35, ,1.7, ,31, ,-0.5, ,24, ,-4.4, , 64, ,11, ,240, , , ,29.71, , , , , ,29.74, ,AA, , , ,29.74, 
14739,20130101,0754,11,FEW035 BKN060 BKN280, ,10.00, , , ,35, ,1.7, ,31, ,-0.5, ,24, ,-4.4, , 64, ,13, ,250, , , ,29.72, , , , , ,29.75, ,AA, , , ,29.75, 
14739,20130101,0854,11,FEW035 SCT050 SCT300, ,10.00, , , ,36, ,2.2, ,30, ,-0.8, ,20, ,-6.7, , 52, ,22, ,290, ,31, ,29.72, , , , , ,29.75, ,AA, , , ,29.75, 
14739,20130101,0954,11,FEW050 SCT300, ,10.00, , , ,36, ,2.2, ,30, ,-1.3, ,17, ,-8.3, , 46, ,17, ,290, ,28, ,29.74, , , , , ,29.77, ,AA, , , ,29.77, 
14739,20130101,1054,11,FEW050 SCT200, ,10.00, , , ,36, ,2.2, ,29, ,-1.6, ,15, ,-9.4, , 42, ,20, ,280, ,30, ,29.75, , , , , ,29.78, ,AA, , , ,29.78, 
14739,20130101,1154,11,FEW050 BKN280, ,10.00, , , ,35, ,1.7, ,29, ,-1.8, ,16, ,-8.9, , 46, ,18, ,300, , , ,29.74, , , , , ,29.76, ,AA, , , ,29.77, 
14739,20130101,1254,11,FEW050 SCT280, ,10.00, , , ,34, ,1.1, ,28, ,-2.4, ,14, ,-10.0, , 44, ,25, ,290, ,33, ,29.72, , , , , ,29.75, ,AA, , , ,29.75, 
14739,20130101,1354,11,FEW050 SCT280, ,10.00, , , ,33, ,0.6, ,27, ,-2.9, ,13, ,-10.6, , 44, ,20, ,270, ,32, ,29.72, , , , , ,29.75, ,AA, , , ,29.75, 
14739,20130101,1454,11,FEW050 SCT280, ,10.00, , , ,33, ,0.6, ,27, ,-2.9, ,13, ,-10.6, , 44, ,14, ,290, ,25, ,29.73, , , , , ,29.75, ,AA, , , ,29.76, 
