Hourly Obs
Year: 2013
Station Location: CORTEZ MUNICIPAL AIRPORT (93069)
Lat: 37.306
Lon: -108.626
Elev: 5910 ft. above sea level
WBAN,Date,Time,StationType,SkyCondition,SkyConditionFlag,Visibility,VisibilityFlag,WeatherType,WeatherTypeFlag,DryBulbFarenheit,DryBulbFarenheitFlag,DryBulbCelsius,DryBulbCelsiusFlag,WetBulbFarenheit,WetBulbFarenheitFlag,WetBulbCelsius,WetBulbCelsiusFlag,DewPointFarenheit,DewPointFarenheitFlag,DewPointCelsius,DewPointCelsiusFlag,RelativeHumidity,RelativeHumidityFlag,WindSpeed,WindSpeedFlag,WindDirection,WindDirectionFlag,ValueForWindCharacter,ValueForWindCharacterFlag,StationPressure,StationPressureFlag,PressureTendency,PressureTendencyFlag,PressureChange,PressureChangeFlag,SeaLevelPressure,SeaLevelPressureFlag,RecordType,RecordTypeFlag,HourlyPrecip,HourlyPrecipFlag,Altimeter,AltimeterFlag
93069,20130101,0053,12,CLR, ,10.00, , , ,-0, ,-17.8, ,-1, ,-18.2, ,-5, ,-20.6, , 79, , 8, ,070, , , ,24.18, , , , , ,30.23, ,AA, , , ,30.07, 
93069,20130101,0153,12,CLR, , 8.00, , , ,-1, ,-18.3, ,-2, ,-18.8, ,-6, ,-21.1, , 79, , 7, ,080, , , ,24.19, , , , , ,30.26, ,AA, , , ,30.09, 
93069,20130101,0253,12,CLR, ,10.00, , , ,-3, ,-19.4, ,-4, ,-19.9, ,-8, ,-22.2, , 79, , 9, ,060, , , ,24.21, , , , , ,30.28, ,AA, , , ,30.11, 
93069,20130101,0353,12,CLR, ,10.00, , , ,-4, ,-20.0, ,-5, ,-20.5, , -10, ,-23.3, , 75, , 8, ,070, , , ,24.22, , , , , ,30.29, ,AA, , , ,30.12, 
93069,20130101,0453,12,CLR, ,10.00, , , ,-2, ,-18.9, ,-3, ,-19.3, ,-7, ,-21.7, , 79, , 8, ,060, , , ,24.21, , , , , ,30.29, ,AA, , , ,30.11, 
93069,20130101,0553,12,CLR, ,10.00, , , ,-3, ,-19.4, ,-4, ,-19.9, ,-9, ,-22.8, , 75, , 6, ,070, , , ,24.23, , , , , ,30.34, ,AA, , , ,30.13, 
93069,20130101,0653,12,CLR, ,10.00, , , ,-6, ,-21.1, ,-7, ,-21.6, , -12, ,-24.4, , 75, , 7, ,060, , , ,24.24, , , , , ,30.38, ,AA, , , ,30.15, 
93069,20130101,0753,12,CLR, , 9.00, , , ,-5, ,-20.6, ,-6, ,-21.0, , -11, ,-23.9, , 75, , 8, ,080, , , ,24.26, , , , , ,30.42, ,AA, , , ,30.17, 
93069,20130101,0853,12,CLR, ,10.00, , , ,5, ,-15.0, ,4, ,-15.6, ,-0, ,-17.8, , 80, , 3, ,050, , , ,24.28, , , , , ,30.41, ,AA, , , ,30.19, 
93069,20130101,0953,12,CLR, ,10.00, , , ,13, ,-10.6, ,11, ,-11.7, ,5, ,-15.0, , 70, , 6, ,050, , , ,24.29, , , , , ,30.40, ,AA, , , ,30.20, 
93069,20130101,1053,12,CLR, ,10.00, , , ,20, ,-6.7, ,16, ,-8.9, ,6, ,-14.4, , 54, , 0, ,000, , , ,24.28, , , , , ,30.37, ,AA, , , ,30.19, 
93069,20130101,1153,12,CLR, ,10.00, , , ,23, ,-5.0, ,18, ,-7.5, ,8, ,-13.3, , 52, , 3, ,090, , , ,24.26, , , , , ,30.34, ,AA, , , ,30.17, 
93069,20130101,1253,12,BKN036, ,10.00, , , ,25, ,-3.9, ,20, ,-6.5, ,10, ,-12.2, , 53, , 0, ,000, , , ,24.24, , , , , ,30.32, ,AA, , , ,30.15, 
93069,20130101,1353,12,CLR, ,10.00, , , ,24, ,-4.4, ,21, ,-6.2, ,14, ,-10.0, , 66, , 9, ,210, , , ,24.24, , , , , ,30.31, ,AA, , , ,30.14, 
93069,20130101,1453,12,SCT039 BKN047, ,10.00, , , ,26, ,-3.3, ,22, ,-5.7, ,13, ,-10.6, , 58, , 7, ,220, , , ,24.24, , , , , ,30.32, ,AA, , , ,30.14, 
93069,20130101,1553,12,CLR, ,10.00, , , ,25, ,-3.9, ,21, ,-6.0, ,13, ,-10.6, , 60, ,14, ,280, , , ,24.24, , , , , ,30.33, ,AA, , , ,30.15, 
93069,20130101,1653,12,CLR, ,10.00, , , ,23, ,-5.0, ,19, ,-6.9, ,12, ,-11.1, , 63, , 6, ,280, , , ,24.27, , , , , ,30.36, ,AA, , , ,30.18, 
93069,20130101,1753,12,CLR, ,10.00, , , ,18, ,-7.8, ,15, ,-9.5, ,7, ,-13.9, , 62, , 6, ,310, , , ,24.28, , , , , ,30.40, ,AA, , , ,30.19, 
93069,20130101,1853,12,CLR, ,10.00, , , ,12, ,-11.1, ,10, ,-12.2, ,4, ,-15.6, , 70, , 5, ,070, , , ,24.28, , , , , ,30.45, ,AA, , , ,30.19, 
93069,20130101,1953,12,CLR, ,10.00, , , ,13, ,-10.6, ,11, ,-11.7, ,5, ,-15.0, , 70, , 7, ,070, , , ,24.28, , , , , ,30.43, ,AA, , , ,30.19, 
93069,20130101,2053,12,CLR, ,10.00, , , ,9, ,-12.8, ,7, ,-13.7, ,2, ,-16.7, , 73, , 0, ,000, , , ,24.29, , , , , ,30.42, ,AA, , , ,30.20, 
93069,20130101,2153,12,CLR, ,10.00, , , ,2, ,-16.7, ,1, ,-17.2, ,-3, ,-19.4, , 79, , 5, ,080, , , ,24.29, , , , , ,30.42, ,AA, , , ,30.21, 
93069,20130101,2253,12,CLR, ,10.00, , , ,-2, ,-18.9, ,-3, ,-19.2, ,-6, ,-21.1, , 83, , 8, ,060, , , ,24.31, , , , , ,30.43, ,AA, , , ,30.23, 
93069,20130101,2353,12,CLR, ,10.00, , , ,-2, ,-18.9, ,-3, ,-19.4, ,-8, ,-22.2, , 75, , 7, ,050, , , ,24.33, , , , , ,30.43, ,AA, , , ,30.25, 
93069,20130102,0053,12,CLR, ,10.00, , , ,-1, ,-18.3, ,-2, ,-18.8, ,-7, ,-21.7, , 75, , 3, ,070, , , ,24.32, , , , , ,30.42, ,AA, , , ,30.24, 
93069,20130102,0153,12,CLR, ,10.00, , , ,-4, ,-20.0, ,-5, ,-20.4, ,-9, ,-22.8, , 79, , 5, ,100, , , ,24.33, , , , , ,30.44, ,AA, , , ,30.25, 
93069,20130102,0253,12,CLR, ,10.00, , , ,-6, ,-21.1, ,-7, ,-21.6, , -12, ,-24.4, , 75, , 6, ,050, , , ,24.34, , , , , ,30.45, ,AA, , , ,30.26, 
93069,20130102,0353,12,CLR, ,10.00, , , ,-5, ,-20.6, ,-6, ,-21.0, , -11, ,-23.9, , 75, , 6, ,050, , , ,24.33, , , , , ,30.44, ,AA, , , ,30.25, 
93069,20130102,0453,12,CLR, ,10.00, , , ,-7, ,-21.7, ,-8, ,-22.1, , -13, ,-25.0, , 75, , 7, ,090, , , ,24.32, , , , , ,30.45, ,AA, , , ,30.24, 
