Hourly Obs
Year: 2013
Station Location: MINNEAPOLIS-ST PAUL INTERNATIONAL AP (14922)
Lat: 44.883
Lon: -93.228
Elev: 872 ft. above sea level
WBAN,Date,Time,StationType,SkyCondition,SkyConditionFlag,Visibility,VisibilityFlag,WeatherType,WeatherTypeFlag,DryBulbFarenheit,DryBulbFarenheitFlag,DryBulbCelsius,DryBulbCelsiusFlag,WetBulbFarenheit,WetBulbFarenheitFlag,WetBulbCelsius,WetBulbCelsiusFlag,DewPointFarenheit,DewPointFarenheitFlag,DewPointCelsius,DewPointCelsiusFlag,RelativeHumidity,RelativeHumidityFlag,WindSpeed,WindSpeedFlag,WindDirection,WindDirectionFlag,ValueForWindCharacter,ValueForWindCharacterFlag,StationPressure,StationPressureFlag,PressureTendency,PressureTendencyFlag,PressureChange,PressureChangeFlag,SeaLevelPressure,SeaLevelPressureFlag,RecordType,RecordTypeFlag,HourlyPrecip,HourlyPrecipFlag,Altimeter,AltimeterFlag
14922,20130101,0053,11,CLR, , 8.00, , , ,-0, ,-17.8, ,-1, ,-18.2, ,-5, ,-20.6, , 79, , 3, ,290, , , ,29.36, , , , , ,30.32, ,AA, , , ,30.26, 
14922,20130101,0153,11,CLR, , 8.00, , , ,-2, ,-18.9, ,-3, ,-19.2, ,-6, ,-21.1, , 83, , 3, ,290, , , ,29.36, , , , , ,30.32, ,AA, , , ,30.26, 
14922,20130101,0253,11,CLR, , 8.00, , , ,-1, ,-18.3, ,-2, ,-18.7, ,-6, ,-21.1, , 79, , 3, ,290, , , ,29.36, , , , , ,30.33, ,AA, , , ,30.26, 
14922,20130101,0353,11,CLR, , 8.00, , , ,-1, ,-18.3, ,-2, ,-18.7, ,-6, ,-21.1, , 79, , 3, ,210, , , ,29.36, , , , , ,30.33, ,AA, , , ,30.26, 
14922,20130101,0453,11,CLR, , 9.00, , , ,-3, ,-19.4, ,-4, ,-19.7, ,-7, ,-21.7, , 83, , 0, ,000, , , ,29.37, , , , , ,30.34, ,AA, , , ,30.27, 
14922,20130101,0553,11,CLR, , 8.00, , , ,-4, ,-20.0, ,-5, ,-20.2, ,-8, ,-22.2, , 83, , 3, ,210, , , ,29.38, , , , , ,30.35, ,AA, , , ,30.28, 
14922,20130101,0653,11,CLR, , 9.00, , , ,-5, ,-20.6, ,-6, ,-20.8, ,-9, ,-22.8, , 83, , 5, ,210, , , ,29.36, , , , , ,30.33, ,AA, , , ,30.26, 
14922,20130101,0753,11,FEW030, , 7.00, , , ,-5, ,-20.6, ,-6, ,-20.8, ,-9, ,-22.8, , 83, , 0, ,000, , , ,29.36, , , , , ,30.33, ,AA, , , ,30.26, 
14922,20130101,0853,11,SCT025, , 8.00, , , ,-5, ,-20.6, ,-5, ,-20.7, ,-8, ,-22.2, , 87, , 3, ,190, , , ,29.35, , , , , ,30.32, ,AA, , , ,30.25, 
14922,20130101,0953,11,FEW025, , 8.00, , , ,-3, ,-19.4, ,-3, ,-19.6, ,-6, ,-21.1, , 87, , 3, ,180, , , ,29.35, , , , , ,30.32, ,AA, , , ,30.25, 
14922,20130101,1039,11,BKN026, , 9.00, , , ,1, ,-17.0, ,0, ,-17.6, ,-4, ,-20.0, , 79, , 6, ,170, , , ,29.34, , , , , ,M, ,SP, , , ,30.24, 
14922,20130101,1053,11,BKN026, , 9.00, , , ,2, ,-16.7, ,1, ,-17.1, ,-3, ,-19.4, , 79, , 0, ,000, , , ,29.33, , , , , ,30.29, ,AA, , , ,30.23, 
14922,20130101,1153,11,OVC018, ,10.00, , , ,5, ,-15.0, ,4, ,-15.6, ,-2, ,-18.9, , 72, , 5, ,200, , , ,29.30, , , , , ,30.26, ,AA, , , ,30.20, 
14922,20130101,1253,11,OVC016, ,10.00, , , ,8, ,-13.3, ,6, ,-14.2, ,-1, ,-18.3, , 66, , 5, ,200, , , ,29.28, , , , , ,30.24, ,AA, , , ,30.18, 
14922,20130101,1325,11,OVC014, ,10.00, , , ,9, ,-13.0, ,7, ,-13.7, ,-0, ,-18.0, , 67, , 5, ,200, , , ,29.26, , , , , ,M, ,SP, , , ,30.16, 
14922,20130101,1353,11,OVC012, ,10.00, ,-SN, ,11, ,-11.7, ,9, ,-12.7, ,2, ,-16.7, , 67, , 8, ,210, , , ,29.26, , , , , ,30.22, ,AA, ,  T, ,30.16, 
14922,20130101,1453,11,OVC012, , 6.00, ,-SN, ,12, ,-11.1, ,11, ,-11.8, ,6, ,-14.4, , 77, , 9, ,230, , , ,29.25, , , , , ,30.22, ,AA, ,  T, ,30.15, 
14922,20130101,1553,11,OVC014, , 6.00, ,-SN, ,12, ,-11.1, ,11, ,-11.7, ,7, ,-13.9, , 80, , 6, ,230, , , ,29.25, , , , , ,30.21, ,AA, ,  T, ,30.15, 
14922,20130101,1604,11,OVC016, , 7.00, ,-SN, ,12, ,-11.0, ,11, ,-11.7, ,7, ,-14.0, , 80, , 5, ,220, , , ,29.25, , , , , ,M, ,SP, , , ,30.15, 
14922,20130101,1649,11,OVC014, , 7.00, ,-SN, ,12, ,-11.0, ,11, ,-11.5, ,9, ,-13.0, , 88, , 3, ,190, , , ,29.24, , , , , ,M, ,SP, , , ,30.14, 
14922,20130101,1653,11,OVC014, , 8.00, ,-SN, ,13, ,-10.6, ,12, ,-11.2, ,8, ,-13.3, , 80, , 5, ,210, , , ,29.24, , , , , ,30.20, ,AA, ,  T, ,30.14, 
14922,20130101,1733,11,OVC, , 1.50, , , ,1, ,-17.0, ,M, ,M, ,-2, ,-19.0, ,M, , 0, ,000, , , ,M, , , , , ,M, ,SP, , , ,30.10, 
14922,20130101,1751,11,OVC016, , 9.00, ,-SN, ,14, ,-10.0, ,13, ,-10.6, ,9, ,-13.0, , 80, , 3, ,200, , , ,29.22, , , , , ,M, ,SP, , , ,30.12, 
14922,20130101,1753,11,OVC016, , 9.00, ,-SN, ,14, ,-10.0, ,13, ,-10.6, ,9, ,-12.8, , 80, , 3, ,VR , , , ,29.22, , , , , ,30.18, ,AA, ,  T, ,30.12, 
14922,20130101,1853,11,OVC016, ,10.00, , , ,15, ,-9.4, ,14, ,-10.0, ,11, ,-11.7, , 84, , 6, ,210, , , ,29.20, , , , , ,30.16, ,AA, ,  T, ,30.10, 
14922,20130101,1920,11,SCT016 OVC028, ,10.00, , , ,16, ,-9.0, ,14, ,-9.7, ,10, ,-12.0, , 77, , 5, ,200, , , ,29.19, , , , , ,M, ,SP, , , ,30.09, 
14922,20130101,1953,11,BKN019 OVC028, ,10.00, , , ,16, ,-8.9, ,15, ,-9.4, ,12, ,-11.1, , 84, , 6, ,200, , , ,29.18, , , , , ,30.14, ,AA, , , ,30.08, 
14922,20130101,2053,11,BKN015 OVC020, ,10.00, , , ,18, ,-7.8, ,17, ,-8.4, ,14, ,-10.0, , 84, , 6, ,220, , , ,29.17, , , , , ,30.13, ,AA, , , ,30.07, 
14922,20130101,2125,11,OVC013, ,10.00, , , ,18, ,-8.0, ,17, ,-8.0, ,16, ,-9.0, , 92, , 5, ,200, , , ,29.16, , , , , ,M, ,SP, , , ,30.06, 
14922,20130101,2153,11,OVC013, ,10.00, , , ,19, ,-7.2, ,18, ,-7.8, ,15, ,-9.4, , 84, , 5, ,190, , , ,29.15, , , , , ,30.11, ,AA, , , ,30.05, 
14922,20130101,2253,11,OVC011, ,10.00, , , ,20, ,-6.7, ,19, ,-7.3, ,16, ,-8.9, , 84, ,10, ,210, , , ,29.14, , , , , ,30.09, ,AA, , , ,30.04, 
14922,20130101,2353,11,OVC011, , 9.00, , , ,20, ,-6.7, ,19, ,-7.3, ,16, ,-8.9, , 84, , 8, ,220, , , ,29.13, , , , , ,30.08, ,AA, , , ,30.03, 
14922,20130102,0053,11,OVC011, , 8.00, , , ,19, ,-7.2, ,18, ,-7.7, ,16, ,-8.9, , 88, ,11, ,220, , , ,29.11, , , , , ,30.06, ,AA, , , ,30.01, 
