Hourly Obs
Year: 2013
Station Location: SAN FRANCISCO INTERNATIONAL AIRPORT (23234)
Lat: 37.619
Lon: -122.364
Elev: 8 ft. above sea level
WBAN,Date,Time,StationType,SkyCondition,SkyConditionFlag,Visibility,VisibilityFlag,WeatherType,WeatherTypeFlag,DryBulbFarenheit,DryBulbFarenheitFlag,DryBulbCelsius,DryBulbCelsiusFlag,WetBulbFarenheit,WetBulbFarenheitFlag,WetBulbCelsius,WetBulbCelsiusFlag,DewPointFarenheit,DewPointFarenheitFlag,DewPointCelsius,DewPointCelsiusFlag,RelativeHumidity,RelativeHumidityFlag,WindSpeed,WindSpeedFlag,WindDirection,WindDirectionFlag,ValueForWindCharacter,ValueForWindCharacterFlag,StationPressure,StationPressureFlag,PressureTendency,PressureTendencyFlag,PressureChange,PressureChangeFlag,SeaLevelPressure,SeaLevelPressureFlag,RecordType,RecordTypeFlag,HourlyPrecip,HourlyPrecipFlag,Altimeter,AltimeterFlag
23234,20131001,0056,11,CLR, ,10.00, , , ,58, ,14.4, ,53, ,11.8, ,49, ,9.4, , 72, ,15, ,270, , , ,29.99, , , , , ,30.01, ,AA, , , ,30.01, 
23234,20131001,0156,11,CLR, ,10.00, , , ,58, ,14.4, ,54, ,12.0, ,50, ,10.0, , 75, ,14, ,270, , , ,29.98, , , , , ,30.00, ,AA, , , ,30.00, 
23234,20131001,0256,11,FEW010, ,10.00, , , ,57, ,13.9, ,53, ,11.8, ,50, ,10.0, , 78, ,15, ,270, , , ,29.97, , , , , ,29.99, ,AA, , , ,29.99, 
23234,20131001,0356,11,FEW010, ,10.00, , , ,57, ,13.9, ,53, ,11.8, ,50, ,10.0, , 78, ,20, ,270, , , ,29.97, , , , , ,29.99, ,AA, , , ,29.99, 
23234,20131001,0456,11,FEW010, ,10.00, , , ,57, ,13.9, ,53, ,11.8, ,50, ,10.0, , 78, ,17, ,260, , , ,29.97, , , , , ,29.99, ,AA, , , ,29.99, 
23234,20131001,0556,11,FEW009 BKN180, ,10.00, , , ,57, ,13.9, ,53, ,11.8, ,50, ,10.0, , 78, ,16, ,270, ,24, ,29.98, , , , , ,29.99, ,AA, , , ,30.00, 
23234,20131001,0656,11,FEW009 BKN180, ,10.00, , , ,57, ,13.9, ,53, ,11.5, ,49, ,9.4, , 75, ,14, ,280, , , ,29.99, , , , , ,30.01, ,AA, , , ,30.01, 
23234,20131001,0756,11,FEW009 SCT180, ,10.00, , , ,58, ,14.4, ,53, ,11.8, ,49, ,9.4, , 72, ,13, ,280, , , ,30.00, , , , , ,30.01, ,AA, , , ,30.02, 
23234,20131001,0856,11,SCT180, ,10.00, , , ,61, ,16.1, ,54, ,12.2, ,48, ,8.9, , 63, ,10, ,280, , , ,30.01, , , , , ,30.02, ,AA, , , ,30.03, 
23234,20131001,0956,11,SCT180, ,10.00, , , ,63, ,17.2, ,55, ,12.5, ,47, ,8.3, , 56, , 7, ,270, , , ,30.00, , , , , ,30.02, ,AA, , , ,30.02, 
23234,20131001,1056,11,BKN180, ,10.00, , , ,66, ,18.9, ,55, ,12.9, ,46, ,7.8, , 49, , 0, ,000, , , ,29.99, , , , , ,30.01, ,AA, , , ,30.01, 
23234,20131001,1156,11,BKN180, ,10.00, , , ,68, ,20.0, ,56, ,13.4, ,46, ,7.8, , 45, , 9, ,290, , , ,29.99, , , , , ,30.01, ,AA, , , ,30.01, 
23234,20131001,1256,11,BKN180, ,10.00, , , ,68, ,20.0, ,56, ,13.4, ,46, ,7.8, , 45, ,15, ,280, , , ,29.97, , , , , ,29.99, ,AA, , , ,29.99, 
23234,20131001,1356,11,BKN180, ,10.00, , , ,67, ,19.4, ,56, ,13.4, ,47, ,8.3, , 49, ,17, ,260, , , ,29.97, , , , , ,29.99, ,AA, , , ,29.99, 
23234,20131001,1456,11,BKN180, ,10.00, , , ,67, ,19.4, ,57, ,13.7, ,48, ,8.9, , 51, ,16, ,270, , , ,29.95, , , , , ,29.97, ,AA, , , ,29.97, 
23234,20131001,1556,11,BKN180, ,10.00, , , ,67, ,19.4, ,57, ,13.7, ,48, ,8.9, , 51, ,15, ,260, , , ,29.93, , , , , ,29.95, ,AA, , , ,29.95, 
23234,20131001,1656,11,BKN180, ,10.00, , , ,64, ,17.8, ,55, ,12.9, ,48, ,8.9, , 56, ,18, ,270, , , ,29.93, , , , , ,29.95, ,AA, , , ,29.95, 
23234,20131001,1756,11,BKN180, ,10.00, , , ,61, ,16.1, ,55, ,12.5, ,49, ,9.4, , 65, ,17, ,270, , , ,29.92, , , , , ,29.94, ,AA, , , ,29.94, 
23234,20131001,1856,11,SCT180, ,10.00, , , ,60, ,15.6, ,54, ,12.0, ,48, ,8.9, , 65, ,16, ,270, , , ,29.92, , , , , ,29.94, ,AA, , , ,29.94, 
23234,20131001,1956,11,SCT180, ,10.00, , , ,59, ,15.0, ,53, ,11.7, ,48, ,8.9, , 67, ,15, ,280, , , ,29.93, , , , , ,29.95, ,AA, , , ,29.95, 
23234,20131001,2056,11,FEW180, ,10.00, , , ,58, ,14.4, ,53, ,11.5, ,48, ,8.9, , 70, ,11, ,280, , , ,29.93, , , , , ,29.95, ,AA, , , ,29.95, 
23234,20131001,2156,11,CLR, ,10.00, , , ,58, ,14.4, ,53, ,11.5, ,48, ,8.9, , 70, ,11, ,280, , , ,29.93, , , , , ,29.95, ,AA, , , ,29.95, 
23234,20131001,2256,11,CLR, ,10.00, , , ,57, ,13.9, ,52, ,11.2, ,48, ,8.9, , 72, , 6, ,290, , , ,29.93, , , , , ,29.95, ,AA, , , ,29.95, 
23234,20131001,2356,11,CLR, ,10.00, , , ,56, ,13.3, ,52, ,11.0, ,48, ,8.9, , 75, , 7, ,280, , , ,29.93, , , , , ,29.94, ,AA, , , ,29.95, 
23234,20131002,0056,11,CLR, ,10.00, , , ,56, ,13.3, ,52, ,11.0, ,48, ,8.9, , 75, , 6, ,290, , , ,29.92, , , , , ,29.94, ,AA, , , ,29.94, 
23234,20131002,0156,11,CLR, ,10.00, , , ,56, ,13.3, ,52, ,11.0, ,48, ,8.9, , 75, , 8, ,280, , , ,29.92, , , , , ,29.94, ,AA, , , ,29.94, 
23234,20131002,0256,11,CLR, ,10.00, , , ,56, ,13.3, ,52, ,11.0, ,48, ,8.9, , 75, , 6, ,270, , , ,29.92, , , , , ,29.94, ,AA, , , ,29.94, 
23234,20131002,0356,11,FEW180, ,10.00, , , ,55, ,12.8, ,51, ,10.4, ,47, ,8.3, , 75, , 0, ,000, , , ,29.92, , , , , ,29.94, ,AA, , , ,29.94, 
23234,20131002,0456,11,FEW180, ,10.00, , , ,55, ,12.8, ,51, ,10.4, ,47, ,8.3, , 75, , 6, ,280, , , ,29.94, , , , , ,29.96, ,AA, , , ,29.96, 
23234,20131002,0556,11,BKN180, ,10.00, , , ,56, ,13.3, ,51, ,10.7, ,47, ,8.3, , 72, , 0, ,000, , , ,29.94, , , , , ,29.96, ,AA, , , ,29.96, 
23234,20131002,0654,11,FEW009 BKN180, ,10.00, , , ,57, ,14.0, ,52, ,11.2, ,48, ,9.0, , 72, , 6, ,280, , , ,29.96, , , , , ,M, ,SP, , , ,29.98, 
23234,20131002,0656,11,FEW009 BKN180, ,10.00, , , ,57, ,13.9, ,53, ,11.5, ,49, ,9.4, , 75, , 7, ,280, , , ,29.96, , , , , ,29.98, ,AA, , , ,29.98, 
23234,20131002,0756,11,FEW009 SCT180, ,10.00, , , ,58, ,14.4, ,53, ,11.5, ,48, ,8.9, , 70, ,10, ,290, , , ,29.98, , , , , ,30.00, ,AA, , , ,30.00, 
23234,20131002,0856,11,FEW009 SCT180, ,10.00, , , ,62, ,16.7, ,55, ,12.7, ,49, ,9.4, , 63, ,10, ,300, , , ,29.99, , , , , ,30.01, ,AA, , , ,30.01, 
23234,20131002,0956,11,FEW010, ,10.00, , , ,64, ,17.8, ,55, ,13.0, ,48, ,8.9, , 56, ,11, ,320, , , ,29.99, , , , , ,30.01, ,AA, , , ,30.01, 
23234,20131002,1056,11,FEW010, ,10.00, , , ,67, ,19.4, ,57, ,13.7, ,48, ,8.9, , 51, ,13, ,300, , , ,29.98, , , , , ,30.00, ,AA, , , ,30.00, 
23234,20131002,1156,11,CLR, ,10.00, , , ,68, ,20.0, ,57, ,13.6, ,47, ,8.3, , 47, ,18, ,290, , , ,29.97, , , , , ,29.99, ,AA, , , ,29.99, 
23234,20131002,1256,11,CLR, ,10.00, , , ,67, ,19.4, ,56, ,13.4, ,47, ,8.3, , 49, ,22, ,290, , , ,29.96, , , , , ,29.98, ,AA, , , ,29.98, 
